account_id,is_suspicious,init_balance,fraud_step_raw,first_step,last_step,out_count,out_amount,out_median_amount,out_counterparties,in_count,in_amount,in_median_amount,in_counterparties,tx_count,total_value,mean_amount,median_amount,amount_std,max_amount,active_weeks,inflow_outflow_ratio,net_flow,unique_counterparties,tx_per_counterparty,activity_tier
0,0,184.44,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
1,0,175.8,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
2,0,142.06,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
3,0,125.89,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
4,0,151.13,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
5,0,140.49,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
6,0,178.38,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
7,0,130.33,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
8,0,147.66,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
9,0,158.34,-1,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,inactive
10,0,190.81,-1,46.0,46.0,1.0,190.8,190.8,1.0,0.0,0.0,,0.0,1.0,190.8,190.8,190.8,,190.8,1.0,0.0,-190.8,1.0,1.0,low (<= median)
11,0,150.47,-1,97.0,97.0,1.0,150.47,150.47,1.0,0.0,0.0,,0.0,1.0,150.47,150.47,150.47,,150.47,1.0,0.0,-150.47,1.0,1.0,low (<= median)
12,0,128.18,-1,22.0,22.0,1.0,128.17,128.17,1.0,0.0,0.0,,0.0,1.0,128.17,128.17,128.17,,128.17,1.0,0.0,-128.17,1.0,1.0,low (<= median)
13,0,175.58,-1,68.0,100.0,1.0,175.58,175.58,1.0,1.0,344.17,344.17,1.0,2.0,519.75,259.875,259.875,119.21113224024006,344.17,2.0,1.960189087595398,168.59,2.0,1.0,low (<= median)
14,0,161.84,-1,17.0,56.0,1.0,161.83,161.83,1.0,1.0,307.79,307.79,1.0,2.0,469.62,234.81,234.81,103.20930578198849,307.79,2.0,1.9019341284063522,145.96,2.0,1.0,low (<= median)
15,0,125.05,-1,95.0,111.0,1.0,125.05,125.05,1.0,1.0,170.55,170.55,1.0,2.0,295.6,147.8,147.8,32.173358543987916,170.55,2.0,1.3638544582167134,45.500000000000014,2.0,1.0,low (<= median)
16,0,190.97,-1,3.0,3.0,1.0,190.97,190.97,1.0,0.0,0.0,,0.0,1.0,190.97,190.97,190.97,,190.97,1.0,0.0,-190.97,1.0,1.0,low (<= median)
17,0,198.28,-1,55.0,74.0,1.0,198.27,198.27,1.0,1.0,364.0,364.0,1.0,2.0,562.27,281.135,281.135,117.18880684604652,364.0,2.0,1.835880365158622,165.73,2.0,1.0,low (<= median)
18,0,181.02,-1,97.0,97.0,1.0,181.02,181.02,1.0,0.0,0.0,,0.0,1.0,181.02,181.02,181.02,,181.02,1.0,0.0,-181.02,1.0,1.0,low (<= median)
19,0,190.22,-1,56.0,69.0,1.0,190.22,190.22,1.0,1.0,164.22,164.22,1.0,2.0,354.44,177.22,177.22,18.384776310850235,190.22,2.0,0.8633161602355167,-26.0,2.0,1.0,low (<= median)
20,0,131.01,-1,30.0,92.0,1.0,131.0,131.0,1.0,1.0,250.07,250.07,1.0,2.0,381.07,190.535,190.535,84.1952044358822,250.07,2.0,1.9089312977099235,119.07,2.0,1.0,low (<= median)
21,0,172.98,-1,84.0,86.0,1.0,172.97,172.97,1.0,1.0,335.51,335.51,1.0,2.0,508.48,254.24,254.24,114.93313621406142,335.51,2.0,1.9397005261027924,162.54,2.0,1.0,low (<= median)
22,0,189.88,-1,70.0,76.0,1.0,189.88,189.88,1.0,1.0,123.69,123.69,1.0,2.0,313.57,156.785,156.785,46.803397846737575,189.88,2.0,0.6514114177375184,-66.19,2.0,1.0,low (<= median)
23,0,168.4,-1,89.0,90.0,1.0,168.39,168.39,1.0,1.0,207.28,207.28,1.0,2.0,375.66999999999996,187.83499999999998,187.83499999999998,27.499382720344855,207.28,1.0,1.230951956767029,38.890000000000015,2.0,1.0,low (<= median)
24,0,147.21,-1,64.0,133.0,1.0,147.21,147.21,1.0,1.0,455.75,455.75,1.0,2.0,602.96,301.48,301.48,218.17072626729734,455.75,2.0,3.0959173969159703,308.53999999999996,2.0,1.0,low (<= median)
25,0,110.07,-1,21.0,58.0,1.0,110.06,110.06,1.0,1.0,203.3,203.3,1.0,2.0,313.36,156.68,156.68,65.9306362778337,203.3,2.0,1.8471742685807742,93.24000000000001,2.0,1.0,low (<= median)
26,0,143.42,-1,15.0,83.0,1.0,143.41,143.41,1.0,1.0,498.47,498.47,1.0,2.0,641.88,320.94,320.94,251.06533372809557,498.47,2.0,3.4758385049857057,355.06000000000006,2.0,1.0,low (<= median)
27,0,161.09,-1,85.0,85.0,1.0,161.08,161.08,1.0,0.0,0.0,,0.0,1.0,161.08,161.08,161.08,,161.08,1.0,0.0,-161.08,1.0,1.0,low (<= median)
28,0,191.3,-1,51.0,51.0,1.0,191.3,191.3,1.0,0.0,0.0,,0.0,1.0,191.3,191.3,191.3,,191.3,1.0,0.0,-191.3,1.0,1.0,low (<= median)
29,0,196.66,-1,77.0,134.0,1.0,196.66,196.66,1.0,1.0,168.83,168.83,1.0,2.0,365.49,182.745,182.745,19.678781720421608,196.66,2.0,0.8584867283636735,-27.829999999999984,2.0,1.0,low (<= median)
30,0,147.7,-1,70.0,70.0,1.0,147.69,147.69,1.0,1.0,333.04,333.04,1.0,2.0,480.73,240.365,240.365,131.06224189292658,333.04,1.0,2.254993567607827,185.35000000000002,2.0,1.0,low (<= median)
31,0,186.53,-1,15.0,15.0,1.0,186.52,186.52,1.0,0.0,0.0,,0.0,1.0,186.52,186.52,186.52,,186.52,1.0,0.0,-186.52,1.0,1.0,low (<= median)
32,0,126.05,-1,51.0,90.0,1.0,126.05,126.05,1.0,1.0,582.9,582.9,1.0,2.0,708.9499999999999,354.47499999999997,354.47499999999997,323.04173298507425,582.9,2.0,4.624355414518048,456.84999999999997,2.0,1.0,low (<= median)
33,0,180.5,-1,38.0,92.0,1.0,180.5,180.5,1.0,1.0,170.36,170.36,1.0,2.0,350.86,175.43,175.43,7.170062761231582,180.5,2.0,0.9438227146814405,-10.139999999999986,2.0,1.0,low (<= median)
34,0,154.87,-1,10.0,35.0,1.0,154.86,154.86,1.0,1.0,461.22,461.22,1.0,2.0,616.08,308.04,308.04,216.6292334843107,461.22,2.0,2.9783029833397907,306.36,2.0,1.0,low (<= median)
35,0,101.4,-1,17.0,26.0,1.0,101.4,101.4,1.0,1.0,148.66,148.66,1.0,2.0,250.06,125.03,125.03,33.41786647887623,148.66,2.0,1.4660749506903352,47.25999999999999,2.0,1.0,low (<= median)
36,0,171.97,-1,40.0,87.0,1.0,171.97,171.97,1.0,1.0,268.11,268.11,1.0,2.0,440.08000000000004,220.04000000000002,220.04000000000002,67.98124594327469,268.11,2.0,1.5590509972669653,96.14000000000001,2.0,1.0,low (<= median)
37,0,139.88,-1,8.0,53.0,1.0,139.88,139.88,1.0,1.0,229.39,229.39,1.0,2.0,369.27,184.635,184.635,63.29312798400786,229.39,2.0,1.6399056334000572,89.50999999999999,2.0,1.0,low (<= median)
38,0,182.48,-1,65.0,87.0,1.0,182.47,182.47,1.0,1.0,543.46,543.46,1.0,2.0,725.9300000000001,362.96500000000003,362.96500000000003,255.2584769405318,543.46,2.0,2.9783526059078205,360.99,2.0,1.0,low (<= median)
39,0,166.82,-1,48.0,48.0,1.0,166.82,166.82,1.0,0.0,0.0,,0.0,1.0,166.82,166.82,166.82,,166.82,1.0,0.0,-166.82,1.0,1.0,low (<= median)
40,0,100.11,-1,48.0,63.0,1.0,100.11,100.11,1.0,1.0,374.88,374.88,1.0,2.0,474.99,237.495,237.495,194.29173026662767,374.88,2.0,3.74468085106383,274.77,2.0,1.0,low (<= median)
41,0,149.36,-1,22.0,118.0,1.0,149.36,149.36,1.0,1.0,350.55,350.55,1.0,2.0,499.91,249.955,249.955,142.2628133069215,350.55,2.0,2.3470139260846277,201.19,2.0,1.0,low (<= median)
42,0,186.76,-1,42.0,75.0,1.0,186.75,186.75,1.0,1.0,331.2,331.2,1.0,2.0,517.95,258.975,258.975,102.14157454239675,331.2,2.0,1.7734939759036144,144.45,2.0,1.0,low (<= median)
43,0,124.39,-1,82.0,105.0,1.0,124.38,124.38,1.0,1.0,105.16,105.16,1.0,2.0,229.54,114.77,114.77,13.590592334405443,124.38,2.0,0.8454735488020582,-19.22,2.0,1.0,low (<= median)
44,0,132.52,-1,22.0,22.0,1.0,132.52,132.52,1.0,0.0,0.0,,0.0,1.0,132.52,132.52,132.52,,132.52,1.0,0.0,-132.52,1.0,1.0,low (<= median)
45,0,187.05,-1,39.0,110.0,1.0,187.05,187.05,1.0,1.0,579.14,579.14,1.0,2.0,766.19,383.095,383.095,277.2494978354334,579.14,2.0,3.096177492649024,392.09,2.0,1.0,low (<= median)
46,0,119.11,-1,100.0,139.0,1.0,119.11,119.11,1.0,1.0,185.71,185.71,1.0,2.0,304.82,152.41,152.41,47.09331162702408,185.71,2.0,1.5591470069683486,66.60000000000001,2.0,1.0,low (<= median)
47,0,156.75,-1,46.0,83.0,1.0,156.75,156.75,1.0,1.0,527.28,527.28,1.0,2.0,684.03,342.015,342.015,262.0042756330514,527.28,2.0,3.363827751196172,370.53,2.0,1.0,low (<= median)
48,0,123.86,-1,9.0,61.0,1.0,123.86,123.86,1.0,1.0,340.92,340.92,1.0,2.0,464.78000000000003,232.39000000000001,232.39000000000001,153.48459792435202,340.92,2.0,2.7524624576134347,217.06,2.0,1.0,low (<= median)
49,0,196.75,-1,12.0,12.0,1.0,196.75,196.75,1.0,0.0,0.0,,0.0,1.0,196.75,196.75,196.75,,196.75,1.0,0.0,-196.75,1.0,1.0,low (<= median)
50,0,180.32,-1,56.0,82.0,1.0,180.32,180.32,1.0,1.0,373.42,373.42,1.0,2.0,553.74,276.87,276.87,136.54231944712234,373.42,2.0,2.070874001774623,193.10000000000002,2.0,1.0,low (<= median)
51,0,144.8,-1,61.0,81.0,1.0,144.8,144.8,1.0,1.0,162.17,162.17,1.0,2.0,306.97,153.485,153.485,12.282444789210304,162.17,2.0,1.1199585635359115,17.369999999999976,2.0,1.0,low (<= median)
52,0,108.04,-1,60.0,100.0,1.0,108.04,108.04,1.0,1.0,401.33,401.33,1.0,2.0,509.37,254.685,254.685,207.3873478542025,401.33,2.0,3.7146427249166973,293.28999999999996,2.0,1.0,low (<= median)
53,0,132.01,-1,89.0,89.0,1.0,132.0,132.0,1.0,0.0,0.0,,0.0,1.0,132.0,132.0,132.0,,132.0,1.0,0.0,-132.0,1.0,1.0,low (<= median)
54,0,150.79,-1,33.0,49.0,1.0,150.78,150.78,1.0,1.0,249.99,249.99,1.0,2.0,400.77,200.385,200.385,70.1520637615174,249.99,2.0,1.6579785117389574,99.21000000000001,2.0,1.0,low (<= median)
55,0,193.28,-1,15.0,86.0,1.0,193.27,193.27,1.0,1.0,312.25,312.25,1.0,2.0,505.52,252.76,252.76,84.13156482557542,312.25,2.0,1.615615460236974,118.97999999999999,2.0,1.0,low (<= median)
56,0,110.91,-1,52.0,75.0,1.0,110.91,110.91,1.0,1.0,393.95,393.95,1.0,2.0,504.86,252.43,252.43,200.1395033470404,393.95,2.0,3.551979082138671,283.03999999999996,2.0,1.0,low (<= median)
57,0,155.13,-1,60.0,98.0,1.0,155.13,155.13,1.0,1.0,228.3,228.3,1.0,2.0,383.43,191.715,191.715,51.7390031794197,228.3,2.0,1.4716689228389095,73.17000000000002,2.0,1.0,low (<= median)
58,0,170.66,-1,64.0,64.0,1.0,170.66,170.66,1.0,0.0,0.0,,0.0,1.0,170.66,170.66,170.66,,170.66,1.0,0.0,-170.66,1.0,1.0,low (<= median)
59,0,154.74,-1,20.0,20.0,1.0,154.74,154.74,1.0,0.0,0.0,,0.0,1.0,154.74,154.74,154.74,,154.74,1.0,0.0,-154.74,1.0,1.0,low (<= median)
60,0,181.45,-1,34.0,78.0,1.0,181.44,181.44,1.0,1.0,260.85,260.85,1.0,2.0,442.29,221.145,221.145,56.151349494023755,260.85,2.0,1.437665343915344,79.41000000000003,2.0,1.0,low (<= median)
61,0,154.03,-1,32.0,112.0,1.0,154.02,154.02,1.0,1.0,143.69,143.69,1.0,2.0,297.71000000000004,148.85500000000002,148.85500000000002,7.304413049657055,154.02,2.0,0.9329307882093234,-10.330000000000013,2.0,1.0,low (<= median)
62,0,196.38,-1,99.0,138.0,1.0,196.38,196.38,1.0,1.0,220.83,220.83,1.0,2.0,417.21000000000004,208.60500000000002,208.60500000000002,17.28876080001109,220.83,2.0,1.1245035135960892,24.450000000000017,2.0,1.0,low (<= median)
63,0,160.32,-1,25.0,25.0,1.0,160.32,160.32,1.0,0.0,0.0,,0.0,1.0,160.32,160.32,160.32,,160.32,1.0,0.0,-160.32,1.0,1.0,low (<= median)
64,0,158.76,-1,37.0,85.0,1.0,158.75,158.75,1.0,1.0,167.44,167.44,1.0,2.0,326.19,163.095,163.095,6.144757928511097,167.44,2.0,1.054740157480315,8.689999999999998,2.0,1.0,low (<= median)
65,0,144.5,-1,72.0,72.0,1.0,144.5,144.5,1.0,0.0,0.0,,0.0,1.0,144.5,144.5,144.5,,144.5,1.0,0.0,-144.5,1.0,1.0,low (<= median)
66,0,159.63,-1,56.0,56.0,1.0,159.63,159.63,1.0,0.0,0.0,,0.0,1.0,159.63,159.63,159.63,,159.63,1.0,0.0,-159.63,1.0,1.0,low (<= median)
67,0,138.49,-1,61.0,82.0,1.0,138.49,138.49,1.0,1.0,199.36,199.36,1.0,2.0,337.85,168.925,168.925,43.04158977082515,199.36,2.0,1.439526319589862,60.870000000000005,2.0,1.0,low (<= median)
68,1,157.57,128,38.0,128.0,4.0,321.39,80.39999999999999,2.0,1.0,468.36,468.36,1.0,5.0,789.75,157.95,157.57,189.93172470653766,468.36,4.0,1.4572948753850463,146.97000000000003,3.0,1.6666666666666667,low (<= median)
69,0,129.03,-1,6.0,42.0,1.0,129.02,129.02,1.0,1.0,188.58,188.58,1.0,2.0,317.6,158.8,158.8,42.11527988747077,188.58,2.0,1.4616338552162456,59.56,2.0,1.0,low (<= median)
70,0,118.94,-1,1.0,81.0,1.0,118.94,118.94,1.0,1.0,241.74,241.74,1.0,2.0,360.68,180.34,180.34,86.83271272970804,241.74,2.0,2.0324533378173872,122.80000000000001,2.0,1.0,low (<= median)
71,0,118.67,-1,91.0,91.0,1.0,118.66,118.66,1.0,0.0,0.0,,0.0,1.0,118.66,118.66,118.66,,118.66,1.0,0.0,-118.66,1.0,1.0,low (<= median)
72,0,161.28,-1,29.0,96.0,1.0,161.27,161.27,1.0,1.0,180.24,180.24,1.0,2.0,341.51,170.755,170.755,13.413815639108815,180.24,2.0,1.1176288212314751,18.97,2.0,1.0,low (<= median)
73,0,165.67,-1,59.0,59.0,1.0,165.66,165.66,1.0,0.0,0.0,,0.0,1.0,165.66,165.66,165.66,,165.66,1.0,0.0,-165.66,1.0,1.0,low (<= median)
74,0,147.65,-1,92.0,93.0,1.0,147.64,147.64,1.0,1.0,343.72,343.72,1.0,2.0,491.36,245.68,245.68,138.64949765505827,343.72,1.0,2.328095367109185,196.08000000000004,2.0,1.0,low (<= median)
75,0,108.98,-1,57.0,94.0,1.0,108.98,108.98,1.0,1.0,566.35,566.35,1.0,2.0,675.33,337.665,337.665,323.40942851129125,566.35,2.0,5.196825105523949,457.37,2.0,1.0,low (<= median)
76,0,175.76,-1,19.0,19.0,1.0,175.75,175.75,1.0,0.0,0.0,,0.0,1.0,175.75,175.75,175.75,,175.75,1.0,0.0,-175.75,1.0,1.0,low (<= median)
77,0,187.68,-1,79.0,106.0,1.0,187.67,187.67,1.0,1.0,200.8,200.8,1.0,2.0,388.47,194.235,194.235,9.284312036979376,200.8,2.0,1.0699632333351097,13.130000000000024,2.0,1.0,low (<= median)
78,0,192.34,-1,1.0,80.0,1.0,192.33,192.33,1.0,1.0,101.09,101.09,1.0,2.0,293.42,146.71,146.71,64.5164227154606,192.33,2.0,0.5256070295845682,-91.24000000000001,2.0,1.0,low (<= median)
79,0,184.25,-1,25.0,25.0,1.0,184.25,184.25,1.0,0.0,0.0,,0.0,1.0,184.25,184.25,184.25,,184.25,1.0,0.0,-184.25,1.0,1.0,low (<= median)
80,0,189.82,-1,56.0,68.0,1.0,189.82,189.82,1.0,1.0,470.16,470.16,1.0,2.0,659.98,329.99,329.99,198.23031503783676,470.16,2.0,2.4768728268886315,280.34000000000003,2.0,1.0,low (<= median)
81,0,192.31,-1,9.0,101.0,1.0,192.3,192.3,1.0,1.0,163.55,163.55,1.0,2.0,355.85,177.925,177.925,20.329319959113242,192.3,2.0,0.8504940197607904,-28.75,2.0,1.0,low (<= median)
82,0,154.06,-1,17.0,88.0,1.0,154.05,154.05,1.0,1.0,101.37,101.37,1.0,2.0,255.42000000000002,127.71000000000001,127.71000000000001,37.25038523290733,154.05,2.0,0.6580331061343719,-52.68000000000001,2.0,1.0,low (<= median)
83,0,139.13,-1,38.0,41.0,1.0,139.13,139.13,1.0,1.0,204.19,204.19,1.0,2.0,343.32,171.66,171.66,46.004367183996784,204.19,1.0,1.4676202113131604,65.06,2.0,1.0,low (<= median)
84,0,170.53,-1,29.0,31.0,1.0,170.52,170.52,1.0,1.0,290.76,290.76,1.0,2.0,461.28,230.64,230.64,85.02251936987047,290.76,1.0,1.7051372273047147,120.23999999999998,2.0,1.0,low (<= median)
85,0,127.56,-1,66.0,94.0,1.0,127.55,127.55,1.0,1.0,155.74,155.74,1.0,2.0,283.29,141.645,141.645,19.93334016164878,155.74,2.0,1.221011368090945,28.190000000000012,2.0,1.0,low (<= median)
86,0,181.16,-1,66.0,95.0,1.0,181.16,181.16,1.0,1.0,300.16,300.16,1.0,2.0,481.32000000000005,240.66000000000003,240.66000000000003,84.14570696119917,300.16,2.0,1.6568778979907266,119.00000000000003,2.0,1.0,low (<= median)
87,0,184.95,-1,67.0,84.0,1.0,184.94,184.94,1.0,1.0,121.58,121.58,1.0,2.0,306.52,153.26,153.26,44.802285655979645,184.94,2.0,0.6574024007786309,-63.36,2.0,1.0,low (<= median)
88,0,189.5,-1,66.0,66.0,1.0,189.5,189.5,1.0,0.0,0.0,,0.0,1.0,189.5,189.5,189.5,,189.5,1.0,0.0,-189.5,1.0,1.0,low (<= median)
89,0,158.98,-1,23.0,70.0,1.0,158.97,158.97,1.0,1.0,127.3,127.3,1.0,2.0,286.27,143.135,143.135,22.394071760177955,158.97,2.0,0.8007800213876832,-31.67,2.0,1.0,low (<= median)
90,0,194.98,-1,24.0,52.0,1.0,194.97,194.97,1.0,1.0,404.32,404.32,1.0,2.0,599.29,299.645,299.645,148.03280464140371,404.32,2.0,2.0737549366569215,209.35,2.0,1.0,low (<= median)
91,0,157.97,-1,74.0,75.0,1.0,157.97,157.97,1.0,1.0,535.84,535.84,1.0,2.0,693.8100000000001,346.90500000000003,346.90500000000003,267.1944394069608,535.84,1.0,3.392036462619485,377.87,2.0,1.0,low (<= median)
92,0,145.06,-1,57.0,57.0,1.0,145.05,145.05,1.0,0.0,0.0,,0.0,1.0,145.05,145.05,145.05,,145.05,1.0,0.0,-145.05,1.0,1.0,low (<= median)
93,0,166.02,-1,73.0,73.0,1.0,166.02,166.02,1.0,0.0,0.0,,0.0,1.0,166.02,166.02,166.02,,166.02,1.0,0.0,-166.02,1.0,1.0,low (<= median)
94,0,199.63,-1,15.0,100.0,1.0,199.63,199.63,1.0,1.0,138.86,138.86,1.0,2.0,338.49,169.245,169.245,42.97087909270648,199.63,2.0,0.695586835645945,-60.76999999999998,2.0,1.0,low (<= median)
