alert_id,week,run_step,account_id,risk_level,risk_score,evidence_strength,families_fired,alert_weeks_to_date,risk_category,primary_signal,supporting_signals,fired_signals,evidence,transaction_value,transaction_count,status,period
ALT-W05-09987,5,35,9987,CRITICAL,99.99,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, AML-03 Circular flow, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-01, BEH-02, AML-03, NET-01, NET-02, NET-03",weekly transaction count = 25 (contribution +5.26) [VEL-01 fired] | velocity vs own history = 4 (contribution +0.38) [BEH-01 fired] | circular-flow participation = 1 (contribution +0.35) [AML-03 fired] | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],6693.700000000001,25.0,New,dev
ALT-W05-09989,5,35,9989,CRITICAL,99.952,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-01, BEH-02, NET-01, NET-02, NET-03",weekly transaction count = 22 (contribution +4.98) [VEL-01 fired] | velocity vs own history = 3.632 (contribution +0.34) [BEH-01 fired] | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],5962.55,22.0,New,dev
ALT-W05-09986,5,35,9986,CRITICAL,99.95,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, AML-03 Circular flow, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, AML-03, NET-01, NET-02, NET-03",weekly transaction count = 21 (contribution +4.88) [VEL-01 fired] | circular-flow participation = 1 (contribution +0.35) [AML-03 fired] | velocity vs own history = 1.737 (contribution +0.07) | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],5202.66,21.0,New,dev
ALT-W05-09985,5,35,9985,CRITICAL,99.92,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, AML-03 Circular flow, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, AML-03, NET-01, NET-02, NET-03",weekly transaction count = 18 (contribution +4.56) [VEL-01 fired] | circular-flow participation = 1 (contribution +0.35) [AML-03 fired] | velocity vs own history = 2.375 (contribution +0.18) | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],5596.950000000001,18.0,New,dev
ALT-W05-09990,5,35,9990,CRITICAL,99.912,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-01, NET-02, NET-03",weekly transaction count = 20 (contribution +4.78) [VEL-01 fired] | velocity vs own history = 3 (contribution +0.26) | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],4667.55,20.0,New,dev
ALT-W05-09988,5,35,9988,HIGH,99.857,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-01, BEH-02, NET-01, NET-02, NET-03",weekly transaction count = 17 (contribution +4.44) [VEL-01 fired] | velocity vs own history = 3.375 (contribution +0.31) [BEH-01 fired] | distinct receivers (28d) = 10 (contribution +0.04) [NET-02 fired],4455.75,17.0,New,dev
ALT-W05-09994,5,35,9994,HIGH,99.835,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, AML-01 Rapid pass-through, NET-02 Fan-out distributor","VEL-01, BEH-01, BEH-02, AML-01, NET-02",weekly transaction count = 15 (contribution +4.18) [VEL-01 fired] | velocity vs own history = 4.8 (contribution +0.46) [BEH-01 fired] | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],4886.63,15.0,New,dev
ALT-W05-09999,5,35,9999,HIGH,99.826,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-02 Fan-out distributor","VEL-01, BEH-02, NET-02",weekly transaction count = 17 (contribution +4.44) [VEL-01 fired] | velocity vs own history = 2 (contribution +0.11) | distinct receivers (28d) = 22 (contribution +0.06) [NET-02 fired],5382.97,17.0,New,dev
ALT-W05-09998,5,35,9998,HIGH,99.823,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-02 Fan-out distributor","VEL-01, BEH-02, NET-02",weekly transaction count = 17 (contribution +4.44) [VEL-01 fired] | velocity vs own history = 1.8 (contribution +0.08) | distinct receivers (28d) = 22 (contribution +0.06) [NET-02 fired],5659.9800000000005,17.0,New,dev
ALT-W05-09984,5,35,9984,HIGH,99.811,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-01, NET-02, NET-03",weekly transaction count = 17 (contribution +4.44) [VEL-01 fired] | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired] | velocity vs own history = 1.588 (contribution +0.04),3998.9700000000003,17.0,New,dev
ALT-W05-19971,5,35,19971,HIGH,99.777,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"TXN-01 Large transaction, BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-03 Flow centrality (PageRank)","TXN-01, VEL-01, BEH-02, NET-01, NET-03",weekly transaction count = 14 (contribution +4.03) [VEL-01 fired] | velocity vs own history = 3.158 (contribution +0.29),3743.05,14.0,New,dev
ALT-W05-09922,5,35,9922,HIGH,99.737,Limited,2,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst","VEL-01, BEH-01, BEH-02",weekly transaction count = 11 (contribution +3.53) [VEL-01 fired] | velocity vs own history = 5.333 (contribution +0.51) [BEH-01 fired] | distinct receivers (28d) = 6 (contribution +0.03),2618.67,11.0,New,dev
ALT-W05-09992,5,35,9992,HIGH,99.729,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, AML-03 Circular flow, NET-02 Fan-out distributor","VEL-01, BEH-01, BEH-02, AML-03, NET-02",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | circular-flow participation = 1 (contribution +0.35) [AML-03 fired] | velocity vs own history = 3.3 (contribution +0.30) [BEH-01 fired] | distinct receivers (28d) = 12 (contribution +0.05) [NET-02 fired],2315.7200000000003,10.0,New,dev
ALT-W05-09991,5,35,9991,HIGH,99.727,Limited,4,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, AML-03 Circular flow, NET-02 Fan-out distributor","VEL-01, BEH-01, BEH-02, AML-03, NET-02",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | circular-flow participation = 1 (contribution +0.35) [AML-03 fired] | velocity vs own history = 3.3 (contribution +0.30) [BEH-01 fired] | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],3253.2299999999996,10.0,New,dev
ALT-W05-19972,5,35,19972,HIGH,99.724,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-03 Flow centrality (PageRank)","VEL-01, BEH-01, BEH-02, NET-01, NET-03",weekly transaction count = 12 (contribution +3.71) [VEL-01 fired] | velocity vs own history = 3.714 (contribution +0.35) [BEH-01 fired],4449.74,12.0,New,dev
ALT-W05-19970,5,35,19970,HIGH,99.719,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-01, NET-03",weekly transaction count = 13 (contribution +3.88) [VEL-01 fired] | velocity vs own history = 2.333 (contribution +0.17),4063.93,13.0,New,dev
ALT-W05-09993,5,35,9993,HIGH,99.714,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-02 Fan-out distributor, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-02, NET-03",weekly transaction count = 13 (contribution +3.88) [VEL-01 fired] | velocity vs own history = 1.75 (contribution +0.07) | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],3291.43,13.0,New,dev
ALT-W05-09995,5,35,9995,MEDIUM,99.667,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, NET-02 Fan-out distributor","VEL-01, BEH-01, BEH-02, NET-02",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | velocity vs own history = 4.125 (contribution +0.40) [BEH-01 fired] | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],3831.7700000000004,10.0,New,dev
ALT-W05-09808,5,35,9808,MEDIUM,99.657,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst, NET-03 Flow centrality (PageRank)","VEL-01, BEH-01, BEH-02, NET-03",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | velocity vs own history = 3.667 (contribution +0.35) [BEH-01 fired] | distinct receivers (28d) = 5 (contribution +0.03),3526.34,10.0,New,dev
ALT-W05-09920,5,35,9920,MEDIUM,99.655,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-01, NET-03",weekly transaction count = 11 (contribution +3.53) [VEL-01 fired] | velocity vs own history = 2.4 (contribution +0.18),2567.97,11.0,New,dev
ALT-W05-09473,5,35,9473,MEDIUM,99.652,Limited,2,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-01 Velocity spike vs own baseline, BEH-02 New-counterparty burst","VEL-01, BEH-01, BEH-02",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | velocity vs own history = 3.667 (contribution +0.35) [BEH-01 fired] | distinct receivers (28d) = 3 (contribution +0.01),1259.3600000000001,10.0,New,dev
ALT-W05-19975,5,35,19975,MEDIUM,99.639,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-01, NET-03",weekly transaction count = 11 (contribution +3.53) [VEL-01 fired] | velocity vs own history = 2.182 (contribution +0.14),3089.17,11.0,New,dev
ALT-W05-09996,5,35,9996,MEDIUM,99.625,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-02 Fan-out distributor","VEL-01, BEH-02, NET-02",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | velocity vs own history = 2.75 (contribution +0.23) | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],3432.7000000000003,10.0,New,dev
ALT-W05-19987,5,35,19987,MEDIUM,99.598,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-01 Fan-in collector, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-01, NET-03",weekly transaction count = 10 (contribution +3.34) [VEL-01 fired] | velocity vs own history = 2.444 (contribution +0.19),2723.66,10.0,New,dev
ALT-W05-09981,5,35,9981,MEDIUM,99.578,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-02 Fan-out distributor","VEL-01, BEH-02, NET-02",weekly transaction count = 9 (contribution +3.13) [VEL-01 fired] | velocity vs own history = 2.857 (contribution +0.25) | distinct receivers (28d) = 11 (contribution +0.05) [NET-02 fired],2253.3,9.0,New,dev
ALT-W05-09890,5,35,9890,MEDIUM,99.557,Limited,3,1,Velocity anomaly,VEL-01 High absolute velocity,"BEH-02 New-counterparty burst, NET-03 Flow centrality (PageRank)","VEL-01, BEH-02, NET-03",weekly transaction count = 9 (contribution +3.13) [VEL-01 fired] | velocity vs own history = 2.727 (contribution +0.23) | distinct receivers (28d) = 4 (contribution +0.02),2765.54,9.0,New,dev
