signal,dev_alerts,dev_precision,quarantine_flag,in_framework,consistent
TXN-01,1163,0.1349957007738607,False,True,True
VEL-01,1185,0.6582278481012658,False,True,True
BEH-01,691,0.4905933429811867,False,True,True
BEH-02,856,0.5268691588785047,False,True,True
BEH-03,251,1.0,True,False,True
BEH-04,2360,0.04194915254237288,False,False,True
AML-01,792,0.1994949494949495,False,True,True
AML-02,307,1.0,True,False,True
AML-03,297,0.5589225589225589,False,True,True
NET-01,834,0.5227817745803357,False,True,True
NET-02,1029,0.41496598639455784,False,True,True
NET-03,784,0.4119897959183674,False,True,True
