dataset,section,check,value,status,note
combined,schema,nodes columns,"nodeid,isFraud,init_balance,fraudStep",PASS,
combined,schema,transactions columns,"sourceNodeId,targetNodeId,value,time",PASS,
combined,schema,nodes dtypes,"nodeid:int64,isFraud:int64,init_balance:float64,fraudStep:int64",INFO,
combined,schema,transactions dtypes,"sourceNodeId:int64,targetNodeId:int64,value:float64,time:int64",INFO,
combined,volume,node rows,20000,INFO,
combined,volume,transaction rows,120558,INFO,
combined,volume,node rows vs metadata.txt,20000 vs 20000,PASS,
combined,volume,labelled accounts vs metadata.txt,1804 vs 1803,WARN,metadata.txt differs from nodes.csv; nodes.csv is treated as authoritative
combined,volume,transaction rows vs metadata.txt,120558 vs 120558,PASS,
combined,missingness,missing values (nodes),0,PASS,
combined,missingness,missing values (transactions),0,PASS,
combined,keys_and_integrity,duplicate account ids,0,PASS,
combined,keys_and_integrity,transactions with unknown sender,0,PASS,
combined,keys_and_integrity,transactions with unknown receiver,0,PASS,
combined,keys_and_integrity,unique sending accounts,19980,INFO,
combined,keys_and_integrity,unique receiving accounts,19807,INFO,
combined,keys_and_integrity,accounts with no transactions,20,WARN,kept in account table; excluded from behavioural features
combined,keys_and_integrity,self-transfers (sender == receiver),15,WARN,kept and flagged; excluded from counterparty and network features
combined,keys_and_integrity,unique directed account pairs,117341,INFO,
combined,duplicates,exact duplicate rows (extra copies),1684,WARN,"no transaction id exists, so identical (sender, receiver, amount, step) rows cannot be proven to be errors; they are kept as repeated transfers and flagged"
combined,duplicates,share of duplicated rows between two labelled accounts,1.0,WARN,"if ~1.0 the duplicates are a simulator artifact of the typology generator, not organic behaviour"
combined,time,step min,1,INFO,
combined,time,step max,149,INFO,
combined,time,steps with zero transactions,0,PASS,
combined,time,non-integer steps,0,PASS,
combined,time,transactions per step (min / median / max),8 / 917 / 1424,WARN,"volume ramps up and down over the simulation (start/end effects); use relative, not absolute, velocity"
combined,time,timestamp granularity,"integer simulation step (no clock time, no calendar date)",WARN,time-of-day and day-of-week analysis is impossible
