decile,accounts,labelled,labelled_rate,share_of_all_labelled,cumulative_capture
1,928,420,0.4525862068965517,0.492379835873388,0.492379835873388
2,928,82,0.08836206896551724,0.09613130128956623,0.5885111371629542
3,927,56,0.06040992448759439,0.06565064478311841,0.6541617819460727
4,928,30,0.032327586206896554,0.035169988276670575,0.6893317702227433
5,928,54,0.05818965517241379,0.06330597889800703,0.7526377491207503
6,927,96,0.10355987055016182,0.11254396248534584,0.8651817116060961
7,928,13,0.014008620689655173,0.015240328253223915,0.8804220398593201
8,927,16,0.017259978425026967,0.01875732708089097,0.8991793669402111
9,928,22,0.023706896551724137,0.02579132473622509,0.9249706916764362
10,928,64,0.06896551724137931,0.07502930832356389,1.0
