approach,alerts,alerts_per_week,alerts_per_1000_tx,alerted_accounts,alert_precision,account_precision,account_recall,f1,false_positive_accounts,fpr_accounts,tp,fp,fn,tn,window,base_rate
B1 Amount threshold,290,72.5,8.149959250203748,244,0.11379310344827587,0.13524590163934427,0.03990326481257558,0.061624649859943974,211,0.026480923694779116,33,211,794,7757,early test (weeks 13-16),0.09403069926094372
B2 Amount + velocity,501,125.25,14.07975718742096,397,0.4111776447105788,0.3979848866498741,0.19105199516324062,0.2581699346405229,239,0.029994979919678713,158,239,669,7729,early test (weeks 13-16),0.09403069926094372
B3 Behavioural anomaly,258,64.5,7.250653401905404,211,0.6046511627906976,0.5545023696682464,0.1414752116082225,0.2254335260115607,94,0.01179718875502008,117,94,710,7874,early test (weeks 13-16),0.09403069926094372
B4 Network / AML patterns,566,141.5,15.906472191776972,352,0.35335689045936397,0.2556818181818182,0.10882708585247884,0.15267175572519084,262,0.03288152610441767,90,262,737,7706,early test (weeks 13-16),0.09403069926094372
B5a Integrated rules (>=2 families),209,52.25,5.873591321698564,155,0.7177033492822966,0.6967741935483871,0.13059250302297462,0.21995926680244401,47,0.00589859437751004,108,47,719,7921,early test (weeks 13-16),0.09403069926094372
B5b Integrated risk score (top 1%),140,35.0,3.934463086305258,101,0.8571428571428571,0.8514851485148515,0.10399032648125756,0.1853448275862069,15,0.0018825301204819277,86,15,741,7953,early test (weeks 13-16),0.09403069926094372
B1 Amount threshold,198,39.6,5.564454936346008,151,0.11616161616161616,0.11920529801324503,0.02538787023977433,0.041860465116279076,133,0.02359829666430092,18,133,691,5503,late test (weeks 17-21),0.11174152876280535
B2 Amount + velocity,306,61.2,8.599612174352922,222,0.39869281045751637,0.3738738738738739,0.11706629055007052,0.1783029001074114,139,0.024662881476224273,83,139,626,5497,late test (weeks 17-21),0.11174152876280535
B3 Behavioural anomaly,109,21.8,3.0632605457662367,80,0.8073394495412844,0.7875,0.08885754583921016,0.15969581749049433,17,0.003016323633782825,63,17,646,5619,late test (weeks 17-21),0.11174152876280535
B4 Network / AML patterns,407,81.4,11.438046258044572,226,0.39803439803439805,0.3053097345132743,0.09732016925246827,0.14759358288770053,157,0.02785663591199432,69,157,640,5479,late test (weeks 17-21),0.11174152876280535
B5a Integrated rules (>=2 families),107,21.4,3.00705393024759,68,0.8130841121495327,0.7647058823529411,0.07334273624823695,0.13384813384813385,16,0.0028388928317956,52,16,657,5620,late test (weeks 17-21),0.11174152876280535
B5b Integrated risk score (top 1%),75,15.0,2.1077480819492456,55,0.88,0.8909090909090909,0.0691114245416079,0.12827225130890055,6,0.0010645848119233499,49,6,660,5630,late test (weeks 17-21),0.11174152876280535
