window_start,length,accounts
29,6,9733-9996-19988-19982-9988-19762
29,3,9987-9996-19984
29,3,5412-7817-7091
29,6,6935-8642-9163-9959-9990-9994
29,5,2991-19994-9987-9993-9233
29,4,9991-9997-19984-19979
29,6,9987-12586-19993-9991-9997-19984
29,3,2053-2726-14070
29,6,9009-9988-9989-9993-16147-16114
29,4,9986-9992-19985-9987
29,3,2850-19827-19585
29,4,9987-9996-9997-19984
29,5,9768-19982-9987-9986-9991
29,4,9984-9996-19975-19972
29,4,9744-9984-9754-9992
29,3,9987-9996-19982
29,5,9986-9991-9997-19984-9987
29,4,9984-9993-19975-19972
57,4,1618-17197-4099-16888
57,3,6538-19191-13858
57,4,19980-19987-19999-19989
57,5,19980-19987-19998-19999-19989
57,3,18705-19984-19995
57,3,19983-19993-19991
57,3,7634-16702-18965
57,4,8207-19988-19994-8971
57,3,10613-19911-15168
57,3,9606-19657-19942
57,3,9999-16625-19987
57,5,19724-19991-19997-19993-19980
57,3,6572-9981-7800
57,5,9998-17070-19998-19999-19994
57,3,1618-17197-16888
57,3,2516-9327-9838
57,4,5024-9989-7775-14933
57,5,9772-19988-19997-19989-19996
57,5,19724-19991-19983-19993-19980
57,4,19983-19993-19988-19995
57,5,9772-19988-19997-19993-19996
85,3,3955-4924-10453
85,3,2159-8363-9565
85,5,9988-19322-9998-9993-17563
85,3,9988-19322-9998
85,5,4167-5080-7150-17464-9997
85,4,8903-19998-9993-19088
113,3,7690-11887-16362
113,4,4717-6018-6116-14597
