approach,alerts,alerts_per_week,alerts_per_1000_tx,alerted_accounts,alert_precision,account_precision,account_recall,f1,false_positive_accounts,fpr_accounts,tp,fp,fn,tn,parameter,value
B2 Amount + velocity,6681,742.3333333333334,187.75819914003878,3745,0.20475976650202066,0.1676902536715621,0.7362250879249707,0.27316224445411047,3117,0.370014245014245,628,3117,225,5307,rule quantile,0.9
B3 Behavioural anomaly,4255,472.77777777777777,119.57957451592053,3097,0.2237367802585194,0.1746851792056829,0.634232121922626,0.27392405063291136,2556,0.3034188034188034,541,2556,312,5868,rule quantile,0.9
B4 Network / AML patterns,10727,1191.888888888889,301.4641823342607,4237,0.18430129579565582,0.13972150106207223,0.694021101992966,0.23261296660117878,3645,0.4326923076923077,592,3645,261,4779,rule quantile,0.9
B5a Integrated rules (>=2 families),5342,593.5555555555555,150.12787005030492,2959,0.23979782852864095,0.1970260223048327,0.6834701055099648,0.3058761804826863,2376,0.28205128205128205,583,2376,270,6048,rule quantile,0.9
B2 Amount + velocity,4994,554.8888888888889,140.34791895006043,3026,0.23648378053664398,0.19365499008592202,0.6869871043376319,0.30213972673369427,2440,0.2896486229819563,586,2440,267,5984,rule quantile,0.95
B3 Behavioural anomaly,3160,351.1111111111111,88.80645251946154,2193,0.26677215189873416,0.21477428180574556,0.552168815943728,0.30925804333552204,1722,0.20441595441595442,471,1722,382,6702,rule quantile,0.95
B4 Network / AML patterns,5066,562.8888888888889,142.3713571087317,2135,0.24378207658902487,0.17798594847775176,0.4454865181711606,0.2543507362784471,1755,0.20833333333333334,380,1755,473,6669,rule quantile,0.95
B5a Integrated rules (>=2 families),3539,393.22222222222223,99.45760616024506,2206,0.2797400395591975,0.22484134179510426,0.5814771395076201,0.3242889833278849,1710,0.202991452991453,496,1710,357,6714,rule quantile,0.95
B2 Amount + velocity,1797,199.66666666666666,50.50164404350392,1207,0.31942125765164164,0.31648715824357915,0.447831184056272,0.37087378640776697,825,0.09793447293447294,382,825,471,7599,rule quantile,0.975
B3 Behavioural anomaly,1345,149.44444444444446,37.798948936289804,1041,0.38810408921933087,0.3266090297790586,0.39859320046893315,0.3590285110876452,701,0.08321462488129155,340,701,513,7723,rule quantile,0.975
B4 Network / AML patterns,2469,274.3333333333333,69.38706685776916,1188,0.30579181855002024,0.21801346801346802,0.30363423212192264,0.25379715825575705,929,0.11028015194681862,259,929,594,7495,rule quantile,0.975
B5a Integrated rules (>=2 families),1000,111.11111111111111,28.103307759323272,656,0.521,0.4725609756097561,0.3634232121922626,0.4108681245858184,346,0.04107312440645774,310,346,543,8078,rule quantile,0.975
B2 Amount + velocity,807,89.66666666666667,22.67936936177388,544,0.40644361833952913,0.38235294117647056,0.24384525205158264,0.297780959198282,336,0.039886039886039885,208,336,645,8088,rule quantile,0.99
B3 Behavioural anomaly,367,40.77777777777778,10.31391394767164,274,0.6648501362397821,0.6021897810218978,0.19343493552168817,0.292812777284827,109,0.012939221272554606,165,109,688,8315,rule quantile,0.99
B4 Network / AML patterns,973,108.11111111111111,27.344518449821543,508,0.3720452209660843,0.2440944881889764,0.14536928487690504,0.18221895664952242,384,0.045584045584045586,124,384,729,8040,rule quantile,0.99
B5a Integrated rules (>=2 families),316,35.111111111111114,8.880645251946154,202,0.75,0.7079207920792079,0.16764361078546308,0.27109004739336495,59,0.007003798670465337,143,59,710,8365,rule quantile,0.99
B2 Amount + velocity,360,40.0,10.117190793356379,232,0.38055555555555554,0.3103448275862069,0.08440797186400938,0.13271889400921658,160,0.01899335232668566,72,160,781,8264,rule quantile,0.995
B3 Behavioural anomaly,173,19.22222222222222,4.861872242362926,111,0.8208092485549133,0.7927927927927928,0.10316529894490035,0.18257261410788383,23,0.0027302943969610637,88,23,765,8401,rule quantile,0.995
B4 Network / AML patterns,480,53.333333333333336,13.48958772447517,262,0.44375,0.26717557251908397,0.08206330597889801,0.12556053811659193,192,0.022792022792022793,70,192,783,8232,rule quantile,0.995
B5a Integrated rules (>=2 families),123,13.666666666666666,3.4567068543967623,54,0.8455284552845529,0.7962962962962963,0.05041031652989449,0.0948180815876516,11,0.0013057929724596391,43,11,810,8413,rule quantile,0.995
B5b Integrated risk score,723,80.33333333333333,20.318691509990725,550,0.661134163208852,0.6072727272727273,0.39155920281359907,0.47612259444048466,216,0.02564102564102564,334,216,519,8208,score percentile,97.0
B5b Integrated risk score,502,55.77777777777778,14.107860495180283,380,0.750996015936255,0.7105263157894737,0.31652989449003516,0.437956204379562,110,0.013057929724596391,270,110,583,8314,score percentile,98.0
B5b Integrated risk score,215,23.88888888888889,6.042211168254504,140,0.8651162790697674,0.8571428571428571,0.1406799531066823,0.2416918429003021,20,0.0023741690408357074,120,20,733,8404,score percentile,99.0
B5b Integrated risk score,94,10.444444444444445,2.6417109293763876,45,0.8936170212765957,0.9111111111111111,0.04806565064478312,0.09131403118040089,4,0.0004748338081671415,41,4,812,8420,score percentile,99.5
B5b Integrated risk score,24,2.6666666666666665,0.6744793862237586,8,0.875,0.875,0.008206330597889801,0.016260162601626018,1,0.00011870845204178538,7,1,846,8423,score percentile,99.8
