approach,share_reviewed,accounts_reviewed,precision,recall
B1 Amount threshold,0.005,46,0.15217391304347827,0.008206330597889801
B1 Amount threshold,0.01,93,0.15053763440860216,0.016412661195779603
B1 Amount threshold,0.015,139,0.11510791366906475,0.01875732708089097
B1 Amount threshold,0.02,186,0.12903225806451613,0.02813599062133646
B1 Amount threshold,0.025,232,0.1336206896551724,0.03634232121922626
B1 Amount threshold,0.030000000000000002,278,0.13309352517985612,0.04337631887456037
B1 Amount threshold,0.034999999999999996,325,0.12923076923076923,0.0492379835873388
B1 Amount threshold,0.04,371,0.12668463611859837,0.05509964830011723
B1 Amount threshold,0.045,417,0.12470023980815348,0.06096131301289566
B1 Amount threshold,0.049999999999999996,464,0.125,0.06799531066822978
B1 Amount threshold,0.05,464,0.125,0.06799531066822978
B1 Amount threshold,0.055,510,0.12941176470588237,0.07737397420867527
B1 Amount threshold,0.06,557,0.12028725314183124,0.07854630715123095
B1 Amount threshold,0.065,603,0.12106135986733002,0.08558030480656506
B1 Amount threshold,0.07,649,0.12018489984591679,0.0914419695193435
B1 Amount threshold,0.07500000000000001,696,0.125,0.10199296600234467
B1 Amount threshold,0.08,742,0.12398921832884097,0.10785463071512309
B1 Amount threshold,0.085,789,0.12167300380228137,0.11254396248534584
B1 Amount threshold,0.09000000000000001,835,0.12215568862275449,0.11957796014067995
B1 Amount threshold,0.095,881,0.12599318955732122,0.13012895662368112
B1 Amount threshold,0.1,928,0.12607758620689655,0.13716295427901523
B1 Amount threshold,0.10500000000000001,974,0.1273100616016427,0.14536928487690504
B1 Amount threshold,0.11,1020,0.12745098039215685,0.15240328253223914
B1 Amount threshold,0.115,1067,0.12652296157450796,0.15826494724501758
B1 Amount threshold,0.12000000000000001,1113,0.1275831087151842,0.16647127784290738
B1 Amount threshold,0.125,1160,0.12586206896551724,0.17116060961313012
B1 Amount threshold,0.13,1206,0.12603648424543948,0.17819460726846426
B1 Amount threshold,0.135,1252,0.12460063897763578,0.182883939038687
B1 Amount threshold,0.14,1299,0.1262509622786759,0.19226260257913247
B1 Amount threshold,0.14500000000000002,1345,0.1241635687732342,0.19577960140679954
B1 Amount threshold,0.15,1392,0.12284482758620689,0.20046893317702227
B1 Amount threshold,0.155,1438,0.12169680111265646,0.205158264947245
B1 Amount threshold,0.16,1484,0.12331536388140162,0.21453692848769051
B1 Amount threshold,0.165,1531,0.124101894186806,0.2227432590855803
B1 Amount threshold,0.17,1577,0.12301838934686113,0.22743259085580306
B1 Amount threshold,0.17500000000000002,1623,0.12199630314232902,0.2321219226260258
B1 Amount threshold,0.18000000000000002,1670,0.12095808383233533,0.23681125439624853
B1 Amount threshold,0.185,1716,0.12062937062937062,0.24267291910902697
B1 Amount threshold,0.19,1763,0.1191151446398185,0.246189917936694
B1 Amount threshold,0.195,1809,0.11719181868435599,0.2485345838218054
B1 Amount threshold,0.2,1855,0.11644204851752021,0.2532239155920281
B2 Amount + velocity,0.005,46,0.8260869565217391,0.044548651817116064
B2 Amount + velocity,0.01,93,0.7849462365591398,0.08558030480656506
B2 Amount + velocity,0.015,139,0.7913669064748201,0.12895662368112543
B2 Amount + velocity,0.02,186,0.8010752688172043,0.1746776084407972
B2 Amount + velocity,0.025,232,0.8103448275862069,0.22039859320046892
B2 Amount + velocity,0.030000000000000002,278,0.7158273381294964,0.23329425556858147
B2 Amount + velocity,0.034999999999999996,325,0.64,0.24384525205158264
B2 Amount + velocity,0.04,371,0.6091644204851752,0.264947245017585
B2 Amount + velocity,0.045,417,0.6522781774580336,0.31887456037514655
B2 Amount + velocity,0.049999999999999996,464,0.6875,0.37397420867526376
B2 Amount + velocity,0.05,464,0.6875,0.37397420867526376
B2 Amount + velocity,0.055,510,0.6607843137254902,0.3950762016412661
B2 Amount + velocity,0.06,557,0.6157989228007181,0.40211019929660025
B2 Amount + velocity,0.065,603,0.572139303482587,0.4044548651817116
B2 Amount + velocity,0.07,649,0.5423728813559322,0.4126611957796014
B2 Amount + velocity,0.07500000000000001,696,0.5186781609195402,0.4232121922626026
B2 Amount + velocity,0.08,742,0.4919137466307278,0.42790152403282533
B2 Amount + velocity,0.085,789,0.4664131812420786,0.43141852286049237
B2 Amount + velocity,0.09000000000000001,835,0.45748502994011975,0.447831184056272
B2 Amount + velocity,0.095,881,0.4438138479001135,0.45838218053927315
B2 Amount + velocity,0.1,928,0.4515086206896552,0.4912075029308324
B2 Amount + velocity,0.10500000000000001,974,0.4322381930184805,0.4935521688159437
