week,transactions,value,proxy_typology_share,senders,receivers,complete_week
1,325,85994.56,0.015384615384615385,320,318,True
2,1167,350152.44,0.02313624678663239,1080,1047,True
3,2534,704270.96,0.02722967640094712,2260,2067,True
4,4695,1331044.44,0.04856230031948882,3758,3250,True
5,5529,1558544.61,0.040151926207270754,4321,3950,True
6,6298,1755325.34,0.054302953318513814,5041,4522,True
7,7668,2125711.4,0.04747000521648409,6226,5308,True
8,9379,2613780.11,0.055336389807015676,7137,6137,True
9,9045,2506706.85,0.07142067440574904,6872,6151,True
10,8717,2399850.55,0.06206263622806011,6801,6149,True
11,8506,2334328.91,0.056078062544086524,6583,6060,True
12,8368,2297967.6,0.06919216061185468,6360,5932,True
13,7887,2187234.54,0.0595917332319006,6093,5611,True
14,7964,2193574.31,0.07169763937719739,6170,5611,True
15,7749,2126062.13,0.07239643825009678,5907,5405,True
16,7056,1940141.74,0.07539682539682539,5343,4889,True
17,5818,1555027.58,0.10192506015812994,4233,4125,True
18,4375,1196812.52,0.08708571428571428,3324,3332,True
19,3477,954698.59,0.090595340811044,2654,2667,True
20,2548,679554.93,0.10243328100470958,1881,1983,True
21,1329,360402.21,0.11963882618510158,885,1108,True
22,124,30732.88,0.18548387096774194,91,116,False
